,id,NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,RandomString,IpAddress,DomainInSubdomains,DomainInPaths,HttpsInHostname,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,NumSensitiveWords,EmbeddedBrandName,PctExtHyperlinks,PctExtResourceUrls,ExtFavicon,InsecureForms,RelativeFormAction,ExtFormAction,AbnormalFormAction,PctNullSelfRedirectHyperlinks,FrequentDomainNameMismatch,FakeLinkInStatusBar,RightClickDisabled,PopUpWindow,SubmitInfoToEmail,IframeOrFrame,MissingTitle,ImagesOnlyInForm,SubdomainLevelRT,UrlLengthRT,PctExtResourceUrlsRT,AbnormalExtFormActionR,ExtMetaScriptLinkRT,PctExtNullSelfRedirectHyperlinksRT,CLASS_LABEL
342,343,2,0,2,36,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,13,16,0,0,0,0,1.0,1.0,0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,1,1,-1,1,-1,-1,1
5127,5128,1,0,5,72,6,0,0,0,0,0,0,0,0,10,1,1,0,0,1,0,9,56,0,0,0,0,0.0635451505,0.9491525424,1,1,1,0,0,0.0234113712,0,0,0,0,0,1,0,0,1,0,-1,1,-1,1,0
3136,3137,3,1,3,38,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,14,0,0,0,0,0.0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
2527,2528,3,1,3,54,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,16,31,0,0,1,0,1.0,1.0,0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,-1,1,-1,-1,1
727,728,2,1,5,81,0,0,0,1,0,0,0,0,0,30,0,1,0,0,0,0,23,50,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,-1,1,1,1,1,1
4577,4578,5,1,2,54,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,26,21,0,0,0,0,0.0,1.0,0,1,1,0,0,1.0,1,0,0,0,0,0,0,0,1,0,-1,1,-1,-1,1
976,977,3,1,9,110,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,26,77,0,0,0,1,0.6,1.0,1,1,0,0,0,0.2,1,0,0,0,0,0,0,0,1,-1,-1,1,-1,-1,1
8391,8392,2,1,0,48,3,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,40,1,0,0,0,0,0.1643835616,0.1891891892,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0
5443,5444,2,0,6,63,0,0,0,0,0,0,0,0,0,7,1,1,0,0,1,0,12,44,0,0,0,0,0.0217391304,0.8,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,1,0,-1,1,0,1,0
9034,9035,1,0,2,47,0,0,0,0,0,0,2,1,0,2,1,0,0,0,1,0,10,6,23,0,0,0,0.0,0.0,0,1,0,1,0,0.0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0
3516,3517,2,1,3,71,0,0,0,0,0,0,0,0,0,17,1,1,0,0,1,0,27,37,0,0,0,0,0.0,0.7857142857,0,1,0,0,0,1.0,1,0,0,0,0,1,0,0,1,0,-1,1,1,-1,1
7975,7976,1,0,5,67,8,0,0,0,0,0,0,0,0,14,1,1,0,0,1,0,11,49,0,0,0,0,0.0280373832,0.7142857143,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,-1,1,0,1,0
9787,9788,3,1,2,53,0,0,0,0,0,0,1,0,0,8,1,1,0,0,0,0,15,22,8,0,0,0,0.1724137931,0.1531531532,0,1,0,0,0,0.0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0
3940,3941,1,0,3,44,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,20,17,0,0,0,0,0.0,0.25,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1
1299,1300,4,0,3,149,0,0,0,0,5,0,10,4,0,9,1,0,1,0,0,0,12,22,107,0,1,0,0.375,0.0,0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,1,-1,1,1,0,0,1
9764,9765,3,1,3,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,21,0,0,0,0,0.0689655172,0.9850746269,1,1,0,0,0,0.0,0,0,0,0,0,1,0,0,1,1,-1,1,-1,1,0
1348,1349,2,0,4,73,1,0,0,0,0,0,0,0,0,24,1,1,0,0,0,0,13,53,0,0,0,1,1.0,1.0,0,1,0,0,0,0.0,1,0,0,0,0,1,0,0,1,0,-1,1,-1,-1,1
660,661,2,1,7,94,1,1,0,0,0,0,0,0,0,13,1,1,0,0,0,0,30,57,0,0,0,0,0.0,0.25,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,-1,1,1,0,1,1
5886,5887,2,0,2,68,0,0,0,0,0,0,2,1,0,4,1,0,0,0,1,0,18,21,21,0,0,0,0.0192307692,0.141025641,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0
1492,1493,1,0,3,36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,19,10,0,0,0,0,0.0,0.7857142857,0,1,0,0,0,1.0,1,0,0,0,0,1,0,0,1,1,-1,1,1,-1,1
9946,9947,2,1,2,58,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,20,31,0,0,0,0,0.0740740741,0.8666666667,0,1,0,0,0,0.037037037,0,0,0,0,0,1,0,0,1,0,-1,1,0,1,0
4589,4590,3,0,6,80,2,1,0,0,0,0,0,0,0,15,1,1,0,0,1,0,17,56,0,0,0,0,0.0,0.0,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,1,-1,1,1,1,1,1
8530,8531,1,0,3,43,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,20,16,0,0,0,0,0.0979591837,0.2588235294,0,1,0,0,0,0.0163265306,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0
5154,5155,1,0,5,103,6,0,0,0,0,0,1,0,0,18,1,1,0,0,1,0,17,72,6,0,0,0,0.4375,0.6551724138,0,0,0,0,0,0.0,0,0,0,0,1,1,0,0,1,-1,0,1,0,0,0
2315,2316,3,1,8,102,1,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,22,73,0,0,0,0,0.0,1.0,0,1,0,1,0,0.0,1,0,0,0,0,0,0,0,1,-1,-1,0,1,1,1
9614,9615,2,1,3,58,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,35,0,0,0,0,0.0949367089,0.2631578947,0,1,1,0,1,0.0949367089,0,0,0,0,0,0,0,0,1,0,1,-1,0,1,0
9577,9578,3,1,2,57,4,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,17,33,0,0,0,0,0.0027777778,0.140625,0,1,1,0,1,0.0444444444,0,0,0,0,0,0,0,0,1,0,1,-1,0,1,0
7024,7025,2,1,3,123,11,0,0,0,0,0,0,0,0,7,1,1,0,0,1,0,16,100,0,0,0,0,0.1711229947,0.4230769231,0,0,0,0,0,0.0,0,0,0,0,1,1,0,0,1,-1,1,1,0,1,0
1085,1086,3,1,4,114,2,0,0,0,5,0,1,0,0,2,1,0,0,0,0,0,24,31,51,0,1,0,0.0,0.3333333333,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,1,-1,1,1,-1,1,1
2524,2525,2,0,4,57,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,10,40,0,0,0,1,0.8181818182,0.9,1,1,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,-1,1,-1,-1,1
8968,8969,3,1,1,52,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,22,15,7,0,0,0,0.2777777778,0.4186046512,0,1,0,0,0,0.0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0
5374,5375,1,0,4,78,8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7,64,0,0,0,0,0.2626728111,0.6666666667,0,1,0,1,0,0.0046082949,0,0,0,0,0,1,0,0,1,-1,-1,0,1,1,0
3198,3199,3,1,8,153,3,1,0,0,0,0,0,0,0,47,1,1,0,0,1,0,20,126,0,0,0,0,0.0,0.0416666667,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,-1,1,1,0,1,1
5751,5752,1,0,6,130,10,0,0,0,0,0,0,0,0,8,1,1,0,0,1,0,18,105,0,0,0,0,0.1584699454,0.4272727273,0,1,1,0,0,0.0163934426,0,0,0,0,0,1,0,0,1,-1,0,1,0,1,0
4008,4009,3,1,4,62,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,20,35,0,0,0,0,0.9715909091,0.9565217391,1,1,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,-1,1,-1,-1,1
5717,5718,2,0,1,83,2,0,0,0,0,0,3,2,0,13,1,0,0,0,0,0,21,9,45,0,0,0,0.1630434783,0.1666666667,0,1,0,0,0,0.0108695652,0,0,0,0,0,0,0,0,1,-1,1,1,0,1,0
6657,6658,2,1,5,78,6,0,0,0,0,0,0,0,0,8,1,1,0,0,1,0,20,51,0,0,0,0,0.1111111111,0.2857142857,0,1,0,1,0,0.0308641975,0,0,0,0,0,1,0,0,1,-1,1,0,0,1,0
9357,9358,2,1,0,28,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,20,1,0,0,0,0,0.037037037,0.0,0,0,0,0,0,0.037037037,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
8790,8791,1,0,3,58,2,0,0,0,0,0,0,0,0,4,1,1,0,0,1,0,13,38,0,0,0,0,0.0408163265,0.0943396226,0,0,0,0,0,0.0204081633,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0
67,68,4,0,3,58,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,35,0,0,0,0,0.0,0.0909090909,0,1,1,0,0,1.0,0,0,0,0,0,0,0,0,1,0,1,1,1,-1,1
7923,7924,2,1,4,107,12,0,0,0,0,0,0,0,0,7,1,1,0,0,1,0,16,84,0,0,0,0,0.0869565217,1.0,1,1,0,0,0,0.0,0,0,0,0,0,1,0,0,1,-1,-1,1,-1,1,0
40,41,1,0,3,34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,14,13,0,0,0,0,1.0,0.1428571429,1,1,0,0,0,0.0,0,0,0,0,0,1,0,0,1,1,1,1,0,-1,1
2269,2270,3,1,2,51,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,31,0,0,0,0,1.0,1.0,0,1,0,1,0,0.0,1,0,0,0,0,1,1,0,1,1,-1,0,1,-1,1
2381,2382,3,1,2,50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29,14,0,0,0,0,0.8571428571,1.0,0,1,0,0,0,0.1428571429,1,0,0,0,0,0,0,0,1,1,-1,1,-1,-1,1
7341,7342,1,0,6,97,7,0,0,0,0,0,1,0,0,12,1,1,0,0,1,0,11,63,15,0,0,0,0.0376344086,0.48,0,1,1,0,1,0.0,0,0,0,0,1,1,0,0,1,-1,1,-1,0,1,0
9961,9962,3,1,1,49,0,0,0,0,0,0,2,1,0,5,1,0,0,0,0,0,14,10,17,0,0,0,0.0310559006,0.1551724138,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
4916,4917,2,1,5,49,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,27,0,0,0,0,0.0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
5322,5323,3,1,4,60,0,0,0,0,2,0,0,0,0,6,1,1,0,0,1,0,20,33,0,0,0,0,0.1849405548,0.7559808612,0,1,0,1,0,0.0435931308,0,0,0,0,1,1,0,0,1,0,0,0,-1,1,0
5773,5774,1,0,6,101,12,0,0,0,0,0,0,0,0,11,1,1,0,0,1,0,7,87,0,0,0,0,0.2807017544,0.9841269841,1,1,1,0,0,0.0175438596,0,0,0,0,0,1,0,0,1,-1,-1,1,-1,1,0
6232,6233,2,0,5,106,6,0,0,0,0,0,0,0,0,6,1,1,0,0,1,0,19,80,0,0,0,0,0.4326923077,0.1739130435,1,1,0,0,0,0.0192307692,0,0,0,0,0,1,0,0,1,-1,1,1,0,0,0
6963,6964,1,0,5,106,10,0,0,0,0,0,0,0,0,8,1,1,0,0,1,0,17,82,0,0,0,0,0.2320441989,1.0,1,1,1,1,0,0.0331491713,0,0,0,0,0,1,0,0,1,-1,-1,0,0,1,0
3447,3448,2,1,2,38,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,5,0,0,0,0,0.0,0.7857142857,0,1,0,0,0,1.0,1,0,0,0,0,1,0,0,1,1,-1,1,1,-1,1
6816,6817,2,0,1,64,0,0,0,0,4,0,0,0,0,4,1,1,0,0,0,0,13,44,0,0,0,0,0.1775700935,0.393442623,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
2367,2368,3,0,5,98,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,22,69,0,0,0,0,1.0,0.1428571429,1,1,0,0,0,0.0,0,0,0,0,0,1,0,0,1,-1,1,1,0,-1,1
7981,7982,2,1,1,75,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,25,18,24,0,0,0,0.1578947368,0.7619047619,0,1,0,0,0,0.0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0
8166,8167,3,1,3,79,0,0,0,0,1,0,0,0,0,10,1,1,0,0,0,0,20,52,0,0,0,0,0.1897590361,0.3157894737,0,1,0,1,0,0.015060241,0,0,0,0,0,1,0,0,1,-1,1,0,0,1,0
2512,2513,2,0,3,44,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,13,24,0,0,0,0,0.0,1.0,0,1,1,0,0,1.0,1,0,0,0,0,0,0,0,1,1,-1,1,-1,-1,1
9619,9620,3,1,2,56,0,0,0,0,0,0,1,0,0,7,1,0,0,0,1,0,19,20,9,0,0,0,0.0343137255,0.0230769231,0,1,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0
2723,2724,3,0,5,55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,30,0,0,0,0,0.0,0.0,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,1,0,1,1,1,-1,1
5948,5949,1,0,2,60,4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,14,39,0,0,0,0,0.0606060606,0.0681818182,0,1,1,0,1,0.0,0,0,0,0,0,0,0,0,1,0,1,-1,1,1,0
9185,9186,2,1,3,58,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,28,23,0,0,0,0,0.0995850622,0.28,0,1,0,1,0,0.0124481328,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
9004,9005,1,0,3,47,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,23,17,0,0,0,0,0.2475247525,1.0,1,1,1,0,0,0.0099009901,0,0,0,0,0,1,0,0,1,1,-1,1,-1,1,0
1143,1144,3,1,4,86,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,19,43,16,0,1,0,0.4375,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,-1,1,1,0,0,1
9736,9737,2,1,3,51,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,21,23,0,0,0,0,0.0444444444,0.1578947368,0,0,0,0,0,0.0444444444,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0
7222,7223,1,0,6,61,3,0,0,0,0,0,0,0,0,9,1,1,0,0,1,0,14,40,0,0,0,0,0.5882352941,0.2857142857,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
8292,8293,3,1,2,59,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,20,32,0,0,0,0,0.0,0.6818181818,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
9220,9221,3,1,2,45,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,22,16,0,0,0,0,0.0,0.5,0,0,0,0,0,0.0,1,0,0,0,0,1,1,0,1,1,-1,1,1,1,0
4728,4729,3,1,5,58,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,31,0,0,0,0,0.0,0.0,0,1,1,0,0,1.0,0,0,0,0,0,0,0,0,1,0,1,1,1,-1,1
5494,5495,3,1,3,64,0,0,0,0,1,0,0,0,0,4,1,1,0,0,0,0,26,31,0,0,0,0,0.0913978495,0.5,0,1,0,0,0,0.064516129,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
5755,5756,3,1,6,98,8,1,0,0,0,0,0,0,0,12,1,1,0,0,1,0,26,65,0,0,0,0,0.147826087,0.5405405405,0,1,0,0,0,0.0173913043,0,0,0,0,0,1,0,0,1,-1,-1,1,0,1,0
7562,7563,7,1,3,86,0,0,0,0,0,0,1,0,0,5,1,1,0,0,0,0,19,54,5,0,0,0,0.2666666667,0.5517241379,0,1,1,0,0,0.0,0,1,0,0,1,0,0,0,1,-1,1,1,0,1,0
3789,3790,4,1,2,71,2,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,28,36,0,0,0,0,0.2,0.0,0,1,0,0,0,0.8,0,0,0,0,1,0,0,0,1,0,1,1,0,-1,1
2220,2221,4,1,4,57,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,29,0,0,0,0,0.0,0.6428571429,1,1,0,0,0,1.0,0,0,0,0,0,0,0,0,1,0,-1,1,0,-1,1
5075,5076,3,1,0,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,0.1053811659,0.950617284,0,1,0,0,0,0.0089686099,0,0,0,0,0,1,0,0,1,1,-1,1,0,1,0
2331,2332,4,1,2,67,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29,31,0,0,0,0,1.0,1.0,0,1,0,1,0,0.0,1,0,0,0,0,1,1,0,1,0,-1,0,1,-1,1
5394,5395,2,0,4,100,7,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,12,81,0,0,0,0,0.3333333333,0.0,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,1,-1,1,1,1,0,0
7439,7440,3,1,3,71,0,0,0,0,0,0,0,0,0,17,1,1,0,0,1,0,21,43,0,0,0,0,0.1351351351,0.1052631579,0,1,1,0,1,0.1351351351,0,0,0,0,1,0,0,0,1,0,1,-1,0,1,0
8067,8068,1,0,2,98,0,0,0,0,8,0,1,0,0,0,1,1,0,0,1,0,10,69,11,0,0,0,0.0303030303,0.3064516129,1,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1,-1,0,1,0,1,0
7090,7091,3,1,1,63,0,0,0,0,0,0,2,1,0,11,1,0,0,0,0,0,17,9,29,0,0,0,0.0454545455,0.6,0,1,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0
9336,9337,2,1,4,50,1,0,0,0,0,0,0,0,0,5,1,1,0,0,1,0,17,26,0,0,0,0,0.0378787879,0.1818181818,0,1,0,0,0,0.0151515152,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0
4088,4089,2,0,4,60,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,9,44,0,0,0,0,0.0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
1967,1968,2,0,4,61,1,1,0,0,0,0,0,0,0,4,1,1,0,0,0,0,31,23,0,0,0,0,0.0,0.0,0,1,0,0,0,1.0,0,0,0,0,0,0,0,1,1,0,1,1,1,-1,1
9363,9364,2,1,1,39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,14,0,0,0,0,0.1062992126,1.0,1,0,0,0,0,0.0236220472,0,0,0,0,0,0,0,0,1,1,-1,1,-1,1,0
9796,9797,2,1,2,48,0,0,0,0,0,0,0,0,0,13,1,1,0,0,0,0,15,26,0,0,0,0,0.1304347826,0.1666666667,0,1,0,0,0,0.0217391304,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0
6757,6758,2,1,5,95,9,0,0,0,0,0,0,0,0,10,1,1,0,0,1,0,21,67,0,0,0,0,0.0508474576,0.4680851064,0,1,0,0,0,0.0169491525,0,0,0,0,0,1,0,0,1,-1,0,1,0,1,0
9586,9587,2,1,3,57,1,0,0,0,0,0,0,0,0,10,1,1,0,0,0,0,18,32,0,0,0,0,0.1363636364,0.8095238095,0,1,1,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0,-1,0,1,0
